index,isbn13,title,tags
0,9780002005883,Gilead,"fiction.a novel that reader and critic have been eagerli anticip for over a decade, gilead is an astonishingli imagin stori of remark lives. john ame is a preacher, the son of a preacher and the grandson (both matern and paternal) of preachers. it’ 1956 in gilead, iowa, toward the end of the reverend ames’ life, and he is absorb in record hi family’ story, a legaci for the young son he will never see grow up. haunt by hi grandfather’ presence, john tell of the rift between hi grandfath and hi father: the elder, an angri visionari who fought for the abolitionist cause, and hi son, an ardent pacifist. he is troubled, too, by hi prodig namesake, jack (john ames) boughton, hi best friend’ lost son who return to gilead search for forgiv and redemption. told in john ames’ joyous, rambl voic that find beauty, humour and truth in the smallest of life’ details, gilead is a song of celebr and accept of the best and the worst the world ha to offer. at it heart is a tale of the sacr bond between father and sons, pitch-perfect in style and story, set to dazzl critic and reader alike.marilynnerobinson"
1,9780002261982,Spider's Web,"detectiveandmysterystories.a new 'christi for christmas' -- a full-length novel adapt from her acclaim play by charl osborn follow black coffe and the unexpect guest come the final agatha christi play novelisation, bring her superb storytel to a new legion of fans. clarissa, the wife of a foreign offic diplomat, is given to daydreaming. 'suppos i were to come down one morn and find a dead bodi in the library, what should i do?' she muses. clarissa ha her chanc to find out when she discov a bodi in the drawing-room of her hous in kent. desper to dispos of the bodi befor her husband come home with an import foreign politician, clarissa persuad her three hous guest to becom accessori and accomplices. it seem that the murder man wa not unknown to certain member of the hous parti (but which ones?), and the search begin for the murder and the motive, while at the same time tri to persuad a polic inspector that there ha been no murder at all... spider' web wa written in 1954 specif for margaret lockwood and open first at the theatr royal nottingham befor move to the savoy theatr in london on 14 decemb 1954. with the mousetrap and wicharlesosborne;agathachristi"
2,9780006163831,The One Tree,americanfiction.volum two of stephen donaldson' acclaim second trilog featu the compel anti-hero thoma covenant.stephenr.donaldson
3,9780006178736,Rage of angels,"fiction.a memorable, mesmer heroin jennif -- brilliant, beautiful, an attorney on the way up until the mafia' scheme win her the hatr of an implac enemi -- and a love more destruct than hate. a dangerous, dramat world the dark arena of organ crime and flashbulb lit courtroom where ambiti prosecutor begin their climb to polit power.sidneysheldon"
4,9780006280897,The Four Loves,"christianlife.lewis' work on the natur of love divid love into four categories; affection, friendship, ero and charity. the first three come natur to humanity. charity, however, the gift-lov of god, is divine, and without thi supernatur love, the natur love becom distort and even dangerous.clivestapleslewi"
5,9780006280934,The Problem of Pain,"christianlife.""in the problem of pain, c.s. lewis, one of the most renown christian author and thinkers, examin a univers applic question within the human condition: if god is good and all-powerful, whi doe he allow hi creatur to suffer pain? with hi signatur wealth of compass and insight, c.s. lewi offer answer to these crucial question and share hi hope and wisdom to help heal a world hunger for a true understand of human nature.""--amazon.clivestapleslewi"
6,9780006353287,An Autobiography,"authors,english.donation.agathachristi"
7,9780006380832,Empires of the Monsoon,"africa,east.until vasco da gama discov the sea-rout to the east in 1497-9 almost noth wa known in the west of the exot cultur and wealth of the indian ocean and it peoples. it is thi civil and it destruct at the hand of the west that richard hall recreat in thi book. hall' histori of the explor and exploit by chines and arab travellers, and by the portuguese, dutch and british alik is one of brutality, betray and coloni ambition.richardhal"
8,9780006470229,The Gap Into Madness,"hyland,morn(fictitiouscharacter).a new-cov reissu of the fourth book in the bestsel five-volum sf seri creat by the world-fam author of the thoma coven chronicl -- and acclaim as the 'best work of hi career'. event were not move as the amnion had intended. onc again human had been fals in their deal with the aliens. as the planetoid thanato minor explod into atoms, the trumpet hurtl into space onli one step ahead of hostil pursuers. on board were morn hyland and her force-grown son davies, cyborg angu thermopyl and captain nick succorso -- old enemi thrown togeth in a desper bid for survival. for both the amnion and the umcp, the immedi captur of the flee ship and the secret it contain wa imperative. but for trumpet' exhaust crew the onli hope lay in an illeg lab in the distant binari solar system of valdor industrial. it would be a journey of unpredict danger -- from which not all would return...stephenr.donaldson"
9,9780006472612,Master of the Game,adventurestories.k blackwel is an enigma and one of the most power women in the world. but at her ninetieth birthday celebr there are ghost of absent friend and absent enemies.sidneysheldon
10,9780006479673,If Tomorrow Comes,"adventurestories.on of sidney sheldon' most popular and bestsel titles, repackag and reissu for a new gener of fans.sidneysheldon"
11,9780006480099,Assassin's Apprentice,americanfiction.fantasy-roman.robinhobb
12,9780006482079,Warhost of Vastmark,"fiction.trick onc more by hi wili half-brother, lysaer, lord of light, arriv at the tini harbor town of merior to find that arithon' ship yard have been abandon and meticul destroyed, and that the master of shadow ha disappear as if into thin air. meanwhil arithon and the mad prophet dakar are travel on foot through the treacher kelhorn mountain toward the vastmark clans, there to rais further support for hi cause. but rais a warhost is a costli business. is it mere coincid that princess talith—lysaer' beautiful, headstrong wife—i taken captiv and held for a vast ransom by a master brigand? the forc of light and shadow circl and feint, draw ever closer to a huge conflict. and in the background the fellowship of seven sorcer and the koriani enchantress watch and plan, and wait.jannywurt"
13,9780006483014,The Once and Future King,"arthurianromances.an omnibu volum of the author' complet stori of the arthurian epic which includes: ""the sword in the stone"" (1939), ""the witch in the wood"" (1939), ""the ill-mad knight"" (1940), ""the candl in the wind"" (publish for the first time), and ""the book of merlyn."" 1996.terencehanburywhit"
14,9780006483892,Murder in LaMut,"adventurestories.avail in the u.s. for the first time, thi is the second volum in the except legend of the riftwar seri from ""new york times""-bestsel author feist and rosenberg.raymonde.feist;joelrosenberg"
